variant,stage,model,strategy,run,n,acc
logic1,1.2,qwen3.7-max,few-shot,1,38,0.6842
logic1,1.2,qwen3.7-max,few-shot,2,38,0.6842
logic1,1.2,qwen3.7-max,few-shot,3,38,0.6842
logic1,1.3,claude-opus-4-8,zero-shot,1,38,0.5789
logic1,1.3,claude-opus-4-8,zero-shot,2,38,0.5263
logic1,1.3,gpt-5.6-sol,zero-shot,1,38,0.7105
logic1,1.3,gpt-5.6-sol,zero-shot,2,38,0.7105
logic2,1.2,qwen3.7-max,few-shot,1,41,0.6098
logic2,1.2,qwen3.7-max,few-shot,2,41,0.561
logic2,1.2,qwen3.7-max,few-shot,3,41,0.5854
logic2,1.3,claude-opus-4-8,zero-shot,1,41,0.561
logic2,1.3,claude-opus-4-8,zero-shot,2,41,0.4878
logic2,1.3,gpt-5.6-sol,zero-shot,1,41,0.6098
logic2,1.3,gpt-5.6-sol,zero-shot,2,41,0.5854
reference1,1.2,qwen3.7-max,few-shot,1,51,0.5294
reference1,1.2,qwen3.7-max,few-shot,2,51,0.451
reference1,1.2,qwen3.7-max,few-shot,3,51,0.549
reference1,1.3,claude-opus-4-8,zero-shot,1,51,0.3922
reference1,1.3,claude-opus-4-8,zero-shot,2,51,0.3922
reference1,1.3,gpt-5.6-sol,zero-shot,1,51,0.4902
reference1,1.3,gpt-5.6-sol,zero-shot,2,51,0.5294
