id,topic,level,gt_status,label,filtered_label,variant,in_D1,in_D2,residual
1,String,Easy,Wrong Answer,1,1,logic1,False,False,False
2,String,Easy,Wrong Answer,1,1,logic1,False,False,False
3,String,Easy,Wrong Answer,1,1,logic1,False,False,False
4,String,Easy,Wrong Answer,1,1,logic1,False,False,False
5,String,Easy,Wrong Answer,1,1,logic1,False,False,False
6,String,Easy,Wrong Answer,1,1,logic1,False,False,False
7,String,Easy,Wrong Answer,1,1,logic1,False,False,False
8,String,Easy,Wrong Answer,1,1,logic1,False,False,False
9,String,Easy,Wrong Answer,1,1,logic1,False,False,False
10,String,Easy,Wrong Answer,1,1,logic1,False,False,False
11,String,Easy,Wrong Answer,1,1,logic1,False,False,False
12,String,Easy,Wrong Answer,1,1,logic1,False,False,False
13,String,Easy,Wrong Answer,1,1,logic1,False,False,False
14,String,Easy,Wrong Answer,1,1,logic1,False,False,False
15,String,Easy,Wrong Answer,1,1,logic1,False,False,False
16,String,Easy,Wrong Answer,1,1,logic1,False,False,False
17,String,Easy,Wrong Answer,1,1,logic1,False,False,False
18,String,Medium,Wrong Answer,1,2,logic1,True,False,False
19,String,Medium,Wrong Answer,1,1,logic1,False,False,False
20,String,Medium,Wrong Answer,1,1,logic1,False,False,False
21,String,Medium,Wrong Answer,1,1,logic1,False,False,False
22,String,Medium,Wrong Answer,1,1,logic1,False,False,False
23,String,Medium,Wrong Answer,1,1,logic1,False,False,False
24,String,Medium,Wrong Answer,1,1,logic1,False,False,False
25,String,Medium,Wrong Answer,1,1,logic1,False,False,False
26,String,Medium,Wrong Answer,1,1,logic1,False,False,False
27,String,Medium,Wrong Answer,1,1,logic1,False,False,False
28,String,Medium,Wrong Answer,1,1,logic1,False,False,False
29,String,Medium,Accepted,1,1,logic1,False,False,False
30,String,Medium,Wrong Answer,1,1,logic1,False,False,False
31,String,Medium,Wrong Answer,1,1,logic1,False,False,False
32,String,Medium,Wrong Answer,1,2,logic1,True,False,False
33,String,Medium,Wrong Answer,1,2,logic1,True,False,False
34,String,Medium,Wrong Answer,1,1,logic1,False,False,False
35,String,Hard,Wrong Answer,1,1,logic1,False,False,False
36,String,Hard,Wrong Answer,1,1,logic1,False,False,False
37,String,Hard,Wrong Answer,1,1,logic1,False,False,False
38,String,Hard,Wrong Answer,1,2,logic1,True,True,False
39,String,Hard,Wrong Answer,1,1,logic1,False,False,False
40,String,Hard,Runtime Error,2,2,logic1,True,False,False
41,String,Hard,Wrong Answer,1,2,logic1,True,True,False
42,String,Hard,Wrong Answer,1,1,logic1,False,False,False
43,String,Hard,Wrong Answer,1,1,logic1,False,False,False
44,String,Hard,Wrong Answer,2,2,logic1,True,False,False
45,String,Hard,Wrong Answer,1,2,logic1,True,True,False
46,String,Hard,Wrong Answer,1,1,logic1,False,False,False
47,String,Hard,Wrong Answer,1,1,logic1,False,False,False
48,String,Hard,Wrong Answer,1,1,logic1,False,False,False
49,String,Hard,Wrong Answer,1,2,logic1,True,True,False
50,String,Hard,Runtime Error,1,1,logic1,False,False,False
51,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
